"taxid","speciesname","accnum","seqname","slen"
"29064","Panthera uncia","PP646880.1","Panthera uncia isolate XB_x34 mitochondrion, complete genome","16778"
"13266","Smilodon fatalis",NA,NA,NA
"13265","Smilodon","MF871700.1","Smilodon populator voucher ZMA20.042 mitochondrion, partial genome","15459"
"13125","Lynx lynx","NC_027083.1","Lynx lynx mitochondrion, complete genome","17046"
"13124","Lynx","PV369935.1","Lynx rufus isolate AZ88_KD mitochondrion, complete genome","17114"
"9696","Puma concolor","NC_016470.1","Puma concolor mitochondrion, complete genome","17153"
"9695","Panthera tigris sumatrae","JF357970.1","Panthera tigris sumatrae isolate SUMATRA2 mitochondrion, complete genome","17001"
"9694","Panthera tigris","NC_014770.1","Panthera tigris amoyensis mitochondrion, complete genome","17001"
"9693","Panthera pardus saxicolor",NA,NA,NA
"9692","Panthera pardus orientalis","KX655614.1","Panthera pardus orientalis mitochondrion, complete genome","16976"
"9691","Panthera pardus","PQ283265.2","Panthera pardus nimr mitochondrion, complete genome","16781"
"9690","Panthera onca","OR327006.1","Panthera onca isolate NAm_Pleistocene_Ponca mitochondrion, partial genome","17063"
"9689","Panthera leo","NC_028302.1","Panthera leo isolate PLE mitochondrion, complete genome","16620"
"9688","Panthera","PQ283265.2","Panthera pardus nimr mitochondrion, complete genome","16781"
"9687","Felis sp.",NA,NA,NA
"9685","Felis catus","PP070534.1","Felis catus isolate M5 mitochondrion, complete genome","17048"
"9683","Felis silvestris","OR095103.1","Felis silvestris mitochondrion, complete genome","16437"
"9682","Felis","PP070534.1","Felis catus isolate M5 mitochondrion, complete genome","17048"
"9681","Felidae","PQ283265.2","Panthera pardus nimr mitochondrion, complete genome","16781"
